dataset,time
KGOLD,1.58546471595764
KGRNUT_OIL,1.6313111782074
KIAGRICULTURE,1.75025987625122
KIBEVERAGES,1.52730417251587
KIENERGY,1.56929397583008
KIFATS_OILS,1.5899829864502
KIFERTILIZERS,1.53246021270752
KIFOOD,1.61040091514587
KIGRAINS,1.56425857543945
KIMETMIN,1.57486581802368
KINONFUEL,1.61567997932434
KIOTHERFOOD,1.5971040725708
KIOTHERRAWMAT,1.6060643196106
KIRAW_MATERIAL,1.52035117149353
KIRON_ORE,1.57755732536316
KIRON_ORE_SPOT,1.54248833656311
KITIMBER,1.53348708152771
KLAMB,1.56615519523621
KLEAD,1.53318500518799
KLOGS_CMR,1.52581667900085
KLOGS_MYS,1.57334208488464
KMAIZE,1.48415851593018
KNGAS_EUR,1.48925828933716
KNGAS_JP,1.50674772262573
KNGAS_US,1.51943683624268
KNICKEL,1.46435976028442
KORANGE,1.47479557991028
KPALM_OIL,1.49532675743103
KPHOSROCK,1.51476716995239
KPLMKRNL_OIL,1.46135187149048
KPLYWOOD,1.46344017982483
KPOTASH,1.48665118217468
KRICE_05,1.53391885757446
KRICE_05_VNM,1.49632000923157
KRICE_25,1.49411034584045
KRICE_A1,1.57567143440247
KRUBBER1_MYSG,1.49900674819946
KSAWNWD_CMR,1.44766497612
KSAWNWD_MYS,1.50568151473999
KSHRIMP_MEX,1.54084277153015
KSILVER,1.52740359306335
KSORGHUM,1.4688241481781
KSOYBEAN_MEAL,1.49213743209839
KSOYBEAN_OIL,1.47847700119019
KSOYBEANS,1.50807428359985
KSUGAR_EU,1.43830275535583
KSUGAR_US,1.46519088745117
KSUGAR_WLD,1.46177291870117
KTEA_AVG,1.49374318122864
KTEA_COLOMBO,1.41341423988342
KTEA_KOLKATA,1.44681549072266
KTEA_MOMBASA,1.44830441474915
KTIN,1.52857875823975
KTOBAC_US,1.40201830863953
KTSP,1.47902369499207
KUREA_EE_BULK,1.56004667282104
KWHEAT_US_HRW,1.64072608947754
KWHEAT_US_SRW,1.38857316970825
